Vdm, I2
-1.0,9.63e-05
-0.997997997998,9.63e-05
-0.995995995996,9.63e-05
-0.993993993994,9.63e-05
-0.991991991992,9.63e-05
-0.98998998999,9.63e-05
-0.987987987988,9.63e-05
-0.985985985986,9.63e-05
-0.983983983984,9.63e-05
-0.981981981982,9.63e-05
-0.97997997998,9.63e-05
-0.977977977978,9.64e-05
-0.975975975976,9.63e-05
-0.973973973974,9.63e-05
-0.971971971972,9.63e-05
-0.96996996997,9.63e-05
-0.967967967968,9.64e-05
-0.965965965966,9.63e-05
-0.963963963964,9.63e-05
-0.961961961962,9.64e-05
-0.95995995996,9.64e-05
-0.957957957958,9.64e-05
-0.955955955956,9.63e-05
-0.953953953954,9.64e-05
-0.951951951952,9.63e-05
-0.94994994995,9.64e-05
-0.947947947948,9.64e-05
-0.945945945946,9.64e-05
-0.943943943944,9.64e-05
-0.941941941942,9.63e-05
-0.93993993994,9.63e-05
-0.937937937938,9.64e-05
-0.935935935936,9.64e-05
-0.933933933934,9.63e-05
-0.931931931932,9.64e-05
-0.92992992993,9.64e-05
-0.927927927928,9.64e-05
-0.925925925926,9.64e-05
-0.923923923924,9.64e-05
-0.921921921922,9.64e-05
-0.91991991992,9.64e-05
-0.917917917918,9.64e-05
-0.915915915916,9.64e-05
-0.913913913914,9.64e-05
-0.911911911912,9.63e-05
-0.90990990991,9.64e-05
-0.907907907908,9.64e-05
-0.905905905906,9.64e-05
-0.903903903904,9.64e-05
-0.901901901902,9.64e-05
-0.8998998999,9.64e-05
-0.897897897898,9.64e-05
-0.895895895896,9.64e-05
-0.893893893894,9.64e-05
-0.891891891892,9.64e-05
-0.88988988989,9.64e-05
-0.887887887888,9.63e-05
-0.885885885886,9.63e-05
-0.883883883884,9.64e-05
-0.881881881882,9.64e-05
-0.87987987988,9.64e-05
-0.877877877878,9.64e-05
-0.875875875876,9.64e-05
-0.873873873874,9.63e-05
-0.871871871872,9.64e-05
-0.86986986987,9.63e-05
-0.867867867868,9.64e-05
-0.865865865866,9.63e-05
-0.863863863864,9.64e-05
-0.861861861862,9.64e-05
-0.85985985986,9.64e-05
-0.857857857858,9.64e-05
-0.855855855856,9.64e-05
-0.853853853854,9.64e-05
-0.851851851852,9.64e-05
-0.84984984985,9.64e-05
-0.847847847848,9.64e-05
-0.845845845846,9.63e-05
-0.843843843844,9.64e-05
-0.841841841842,9.64e-05
-0.83983983984,9.64e-05
-0.837837837838,9.63e-05
-0.835835835836,9.63e-05
-0.833833833834,9.63e-05
-0.831831831832,9.64e-05
-0.82982982983,9.64e-05
-0.827827827828,9.63e-05
-0.825825825826,9.63e-05
-0.823823823824,9.63e-05
-0.821821821822,9.64e-05
-0.81981981982,9.63e-05
-0.817817817818,9.63e-05
-0.815815815816,9.64e-05
-0.813813813814,9.63e-05
-0.811811811812,9.63e-05
-0.80980980981,9.64e-05
-0.807807807808,9.63e-05
-0.805805805806,9.63e-05
-0.803803803804,9.64e-05
-0.801801801802,9.64e-05
-0.7997997998,9.63e-05
-0.797797797798,9.64e-05
-0.795795795796,9.64e-05
-0.793793793794,9.63e-05
-0.791791791792,9.64e-05
-0.78978978979,9.64e-05
-0.787787787788,9.64e-05
-0.785785785786,9.63e-05
-0.783783783784,9.64e-05
-0.781781781782,9.64e-05
-0.77977977978,9.63e-05
-0.777777777778,9.64e-05
-0.775775775776,9.64e-05
-0.773773773774,9.64e-05
-0.771771771772,9.63e-05
-0.76976976977,9.64e-05
-0.767767767768,9.64e-05
-0.765765765766,9.63e-05
-0.763763763764,9.63e-05
-0.761761761762,9.63e-05
-0.75975975976,9.63e-05
-0.757757757758,9.63e-05
-0.755755755756,9.63e-05
-0.753753753754,9.63e-05
-0.751751751752,9.63e-05
-0.74974974975,9.63e-05
-0.747747747748,9.63e-05
-0.745745745746,9.63e-05
-0.743743743744,9.63e-05
-0.741741741742,9.63e-05
-0.73973973974,9.63e-05
-0.737737737738,9.63e-05
-0.735735735736,9.63e-05
-0.733733733734,9.63e-05
-0.731731731732,9.63e-05
-0.72972972973,9.63e-05
-0.727727727728,9.63e-05
-0.725725725726,9.63e-05
-0.723723723724,9.63e-05
-0.721721721722,9.63e-05
-0.71971971972,9.63e-05
-0.717717717718,9.63e-05
-0.715715715716,9.63e-05
-0.713713713714,9.63e-05
-0.711711711712,9.63e-05
-0.70970970971,9.63e-05
-0.707707707708,9.63e-05
-0.705705705706,9.63e-05
-0.703703703704,9.63e-05
-0.701701701702,9.63e-05
-0.6996996997,9.63e-05
-0.697697697698,9.63e-05
-0.695695695696,9.63e-05
-0.693693693694,9.63e-05
-0.691691691692,9.63e-05
-0.68968968969,9.63e-05
-0.687687687688,9.63e-05
-0.685685685686,9.63e-05
-0.683683683684,9.63e-05
-0.681681681682,9.63e-05
-0.67967967968,9.63e-05
-0.677677677678,9.63e-05
-0.675675675676,9.63e-05
-0.673673673674,9.63e-05
-0.671671671672,9.63e-05
-0.66966966967,9.63e-05
-0.667667667668,9.63e-05
-0.665665665666,9.62e-05
-0.663663663664,9.62e-05
-0.661661661662,9.62e-05
-0.65965965966,9.62e-05
-0.657657657658,9.62e-05
-0.655655655656,9.62e-05
-0.653653653654,9.62e-05
-0.651651651652,9.62e-05
-0.64964964965,9.62e-05
-0.647647647648,9.62e-05
-0.645645645646,9.62e-05
-0.643643643644,9.62e-05
