Vdm, I1
-0.4,5.2e-08
-0.399199199199,3.56e-08
-0.398398398398,2.29e-08
-0.397597597598,2.36e-08
-0.396796796797,1.68e-08
-0.395995995996,1.39e-08
-0.395195195195,1.43e-08
-0.394394394394,1.1e-08
-0.393593593594,9.1e-09
-0.392792792793,6.2e-09
-0.391991991992,1.12e-08
-0.391191191191,5.4e-09
-0.39039039039,6.1e-09
-0.38958958959,8.2e-09
-0.388788788789,5.5e-09
-0.387987987988,5e-09
-0.387187187187,4.3e-09
-0.386386386386,7.4e-09
-0.385585585586,3.1e-09
-0.384784784785,4.5e-09
-0.383983983984,2.2e-09
-0.383183183183,4.5e-09
-0.382382382382,6.5e-09
-0.381581581582,-2e-10
-0.380780780781,2.7e-09
-0.37997997998,1.2e-09
-0.379179179179,2.1e-09
-0.378378378378,2.5e-09
-0.377577577578,3e-09
-0.376776776777,1.8e-09
-0.375975975976,1.8e-09
-0.375175175175,8e-09
-0.374374374374,1.8e-09
-0.373573573574,3e-09
-0.372772772773,1.2e-09
-0.371971971972,4.9e-09
-0.371171171171,3.8e-09
-0.37037037037,3.6e-09
-0.36956956957,-8e-10
-0.368768768769,0.0
-0.367967967968,4.2e-09
-0.367167167167,2.5e-09
-0.366366366366,0.0
-0.365565565566,8.1e-09
-0.364764764765,3.6e-09
-0.363963963964,2e-10
-0.363163163163,2.2e-09
-0.362362362362,-1e-10
-0.361561561562,6.1e-09
-0.360760760761,1e-09
-0.35995995996,-3e-10
-0.359159159159,1.5e-09
-0.358358358358,5.9e-09
-0.357557557558,3.4e-09
-0.356756756757,6.1e-09
-0.355955955956,4.2e-09
-0.355155155155,4.3e-09
-0.354354354354,9e-10
-0.353553553554,-4e-10
-0.352752752753,-3e-10
-0.351951951952,2.2e-09
-0.351151151151,2.7e-09
-0.35035035035,2.4e-09
-0.34954954955,1.6e-09
-0.348748748749,3.3e-09
-0.347947947948,1.2e-09
-0.347147147147,4.6e-09
-0.346346346346,2.7e-09
-0.345545545546,3.9e-09
-0.344744744745,3.4e-09
-0.343943943944,8e-10
-0.343143143143,4.5e-09
-0.342342342342,5.1e-09
-0.341541541542,2.7e-09
-0.340740740741,1.4e-09
-0.33993993994,4.3e-09
-0.339139139139,5.1e-09
-0.338338338338,-5e-10
-0.337537537538,1e-09
-0.336736736737,6e-10
-0.335935935936,5e-09
-0.335135135135,6.4e-09
-0.334334334334,2.7e-09
-0.333533533534,1.5e-09
-0.332732732733,4.6e-09
-0.331931931932,1.1e-09
-0.331131131131,2e-09
-0.33033033033,5.4e-09
-0.32952952953,7.6e-09
-0.328728728729,1e-10
-0.327927927928,8e-09
-0.327127127127,2.7e-09
-0.326326326326,3.2e-09
-0.325525525526,2.4e-09
-0.324724724725,8e-10
-0.323923923924,4.8e-09
-0.323123123123,4.1e-09
-0.322322322322,1.6e-09
-0.321521521522,6.6e-09
-0.320720720721,4e-09
-0.31991991992,1.7e-09
-0.319119119119,6.6e-09
-0.318318318318,4.7e-09
-0.317517517518,2.7e-09
-0.316716716717,1.03e-08
-0.315915915916,6e-09
-0.315115115115,6.1e-09
-0.314314314314,5.4e-09
-0.313513513514,6.1e-09
-0.312712712713,2.4e-09
-0.311911911912,5.2e-09
-0.311111111111,3.5e-09
-0.31031031031,1.5e-09
-0.30950950951,4.6e-09
-0.308708708709,5e-09
-0.307907907908,1.8e-09
-0.307107107107,5e-09
-0.306306306306,4.6e-09
-0.305505505506,1.34e-08
-0.304704704705,7.2e-09
-0.303903903904,2.3e-09
-0.303103103103,7.8e-09
-0.302302302302,3.1e-09
-0.301501501502,9.4e-09
-0.300700700701,4.6e-09
-0.2998998999,4.5e-09
-0.299099099099,6.7e-09
-0.298298298298,4e-09
-0.297497497497,7.2e-09
-0.296696696697,8.7e-09
-0.295895895896,1.18e-08
-0.295095095095,9.7e-09
-0.294294294294,9.1e-09
-0.293493493493,1.07e-08
-0.292692692693,7.6e-09
-0.291891891892,8.4e-09
-0.291091091091,9.8e-09
-0.29029029029,8.8e-09
-0.289489489489,1.16e-08
-0.288688688689,6.4e-09
-0.287887887888,1.04e-08
-0.287087087087,6e-09
-0.286286286286,1.15e-08
-0.285485485485,1.42e-08
-0.284684684685,1.51e-08
-0.283883883884,9.8e-09
-0.283083083083,1.33e-08
-0.282282282282,9.7e-09
-0.281481481481,7.5e-09
-0.280680680681,8.9e-09
-0.27987987988,1.47e-08
-0.279079079079,1.3e-08
-0.278278278278,1.17e-08
-0.277477477477,9.4e-09
-0.276676676677,1.36e-08
-0.275875875876,1.5e-08
-0.275075075075,1.47e-08
-0.274274274274,1.64e-08
-0.273473473473,1.76e-08
-0.272672672673,1.63e-08
-0.271871871872,1.38e-08
-0.271071071071,2.09e-08
-0.27027027027,1.63e-08
-0.269469469469,2.12e-08
-0.268668668669,1.38e-08
-0.267867867868,1.78e-08
-0.267067067067,1.44e-08
-0.266266266266,1.56e-08
-0.265465465465,2.02e-08
-0.264664664665,1.99e-08
-0.263863863864,2.08e-08
-0.263063063063,2.29e-08
-0.262262262262,2.3e-08
-0.261461461461,1.74e-08
-0.260660660661,3e-08
-0.25985985986,2.61e-08
-0.259059059059,2.35e-08
-0.258258258258,2.5e-08
-0.257457457457,2.58e-08
-0.256656656657,2.42e-08
-0.255855855856,2.8e-08
-0.255055055055,2.72e-08
-0.254254254254,2.83e-08
-0.253453453453,2.84e-08
-0.252652652653,3.1e-08
-0.251851851852,3.05e-08
-0.251051051051,3.39e-08
-0.25025025025,3.21e-08
-0.249449449449,3.32e-08
-0.248648648649,3.12e-08
-0.247847847848,3.61e-08
-0.247047047047,3.4e-08
-0.246246246246,3.52e-08
-0.245445445445,3.91e-08
-0.244644644645,3.82e-08
-0.243843843844,3.95e-08
-0.243043043043,4e-08
-0.242242242242,3.64e-08
-0.241441441441,4.1e-08
-0.240640640641,4.27e-08
-0.23983983984,4.18e-08
-0.239039039039,4.59e-08
-0.238238238238,4.71e-08
-0.237437437437,4.26e-08
-0.236636636637,4.67e-08
-0.235835835836,4.78e-08
-0.235035035035,4.86e-08
-0.234234234234,5.51e-08
-0.233433433433,5.26e-08
-0.232632632633,5.15e-08
-0.231831831832,5.16e-08
-0.231031031031,5.62e-08
-0.23023023023,5.74e-08
-0.229429429429,5.9e-08
-0.228628628629,6.08e-08
-0.227827827828,6e-08
-0.227027027027,6.23e-08
-0.226226226226,6.41e-08
-0.225425425425,6.14e-08
-0.224624624625,6.71e-08
-0.223823823824,6.53e-08
-0.223023023023,6.58e-08
-0.222222222222,7.28e-08
-0.221421421421,7.27e-08
-0.220620620621,7.53e-08
-0.21981981982,7.56e-08
-0.219019019019,7.99e-08
-0.218218218218,8.03e-08
-0.217417417417,7.85e-08
-0.216616616617,8.07e-08
-0.215815815816,8.46e-08
-0.215015015015,8.98e-08
-0.214214214214,8.85e-08
-0.213413413413,8.85e-08
-0.212612612613,9.21e-08
-0.211811811812,9.5e-08
-0.211011011011,9.49e-08
-0.21021021021,9.59e-08
-0.209409409409,1.003e-07
-0.208608608609,1.016e-07
-0.207807807808,1.021e-07
-0.207007007007,1.08e-07
-0.206206206206,1.077e-07
-0.205405405405,1.106e-07
-0.204604604605,1.131e-07
-0.203803803804,1.164e-07
-0.203003003003,1.147e-07
-0.202202202202,1.19e-07
-0.201401401401,1.23e-07
-0.200600600601,1.247e-07
-0.1997997998,1.282e-07
-0.198998998999,1.307e-07
-0.198198198198,1.327e-07
-0.197397397397,1.376e-07
-0.196596596597,1.354e-07
-0.195795795796,1.419e-07
-0.194994994995,1.43e-07
-0.194194194194,1.517e-07
-0.193393393393,1.444e-07
-0.192592592593,1.505e-07
-0.191791791792,1.547e-07
-0.190990990991,1.571e-07
-0.19019019019,1.595e-07
-0.189389389389,1.636e-07
-0.188588588589,1.671e-07
-0.187787787788,1.702e-07
-0.186986986987,1.76e-07
-0.186186186186,1.747e-07
-0.185385385385,1.801e-07
-0.184584584585,1.817e-07
-0.183783783784,1.874e-07
-0.182982982983,1.913e-07
-0.182182182182,1.914e-07
-0.181381381381,1.995e-07
-0.180580580581,2.1e-07
-0.17977977978,2.01e-07
-0.178978978979,2.15e-07
-0.178178178178,2.13e-07
-0.177377377377,2.15e-07
-0.176576576577,2.2e-07
-0.175775775776,2.13e-07
-0.174974974975,2.26e-07
-0.174174174174,2.31e-07
-0.173373373373,2.32e-07
-0.172572572573,2.37e-07
-0.171771771772,2.43e-07
-0.170970970971,2.47e-07
-0.17017017017,2.54e-07
-0.169369369369,2.58e-07
-0.168568568569,2.69e-07
-0.167767767768,2.65e-07
-0.166966966967,2.76e-07
-0.166166166166,2.73e-07
-0.165365365365,2.78e-07
-0.164564564565,2.85e-07
-0.163763763764,2.91e-07
-0.162962962963,2.96e-07
-0.162162162162,3.06e-07
-0.161361361361,3.07e-07
-0.160560560561,3.02e-07
-0.15975975976,3.12e-07
