Vdm, I1
-0.4,1.22e-07
-0.399199199199,5.17e-08
-0.398398398398,5.17e-08
-0.397597597598,4.1e-08
-0.396796796797,3.17e-08
-0.395995995996,2.72e-08
-0.395195195195,2.53e-08
-0.394394394394,1.79e-08
-0.393593593594,2.14e-08
-0.392792792793,1.93e-08
-0.391991991992,7.5e-09
-0.391191191191,1.88e-08
-0.39039039039,1.33e-08
-0.38958958959,1.24e-08
-0.388788788789,1.17e-08
-0.387987987988,1.23e-08
-0.387187187187,1.01e-08
-0.386386386386,1.04e-08
-0.385585585586,6.6e-09
-0.384784784785,1.28e-08
-0.383983983984,1.33e-08
-0.383183183183,9.1e-09
-0.382382382382,3.8e-09
-0.381581581582,7.8e-09
-0.380780780781,9.8e-09
-0.37997997998,7.1e-09
-0.379179179179,2.7e-09
-0.378378378378,9.3e-09
-0.377577577578,8.4e-09
-0.376776776777,6.7e-09
-0.375975975976,7.2e-09
-0.375175175175,2.8e-09
-0.374374374374,5.3e-09
-0.373573573574,6.1e-09
-0.372772772773,3.1e-09
-0.371971971972,6.2e-09
-0.371171171171,6.9e-09
-0.37037037037,4.1e-09
-0.36956956957,2.5e-09
-0.368768768769,5.4e-09
-0.367967967968,9.3e-09
-0.367167167167,5.4e-09
-0.366366366366,4.1e-09
-0.365565565566,1.6e-09
-0.364764764765,3.2e-09
-0.363963963964,2.8e-09
-0.363163163163,2.5e-09
-0.362362362362,2.6e-09
-0.361561561562,3.9e-09
-0.360760760761,8e-09
-0.35995995996,5.3e-09
-0.359159159159,1.6e-09
-0.358358358358,6.6e-09
-0.357557557558,4e-09
-0.356756756757,2.4e-09
-0.355955955956,4.7e-09
-0.355155155155,7e-09
-0.354354354354,8e-10
-0.353553553554,2.7e-09
-0.352752752753,2.5e-09
-0.351951951952,2.3e-09
-0.351151151151,4.3e-09
-0.35035035035,6.6e-09
-0.34954954955,6.1e-09
-0.348748748749,3.5e-09
-0.347947947948,2.1e-09
-0.347147147147,4.5e-09
-0.346346346346,6.1e-09
-0.345545545546,3e-09
-0.344744744745,3.8e-09
-0.343943943944,-1e-10
-0.343143143143,5.4e-09
-0.342342342342,9e-10
