Vdm, I1
-0.4,1.2e-09
-0.399199199199,6e-10
-0.398398398398,1.8e-09
-0.397597597598,1.7e-09
-0.396796796797,-1.7e-09
-0.395995995996,-1.2e-09
-0.395195195195,2e-09
-0.394394394394,2e-10
-0.393593593594,3.4e-09
-0.392792792793,-4e-10
-0.391991991992,-3.2e-09
-0.391191191191,-2.9e-09
-0.39039039039,-2e-09
-0.38958958959,3e-09
-0.388788788789,5e-10
-0.387987987988,9e-10
-0.387187187187,-4e-10
-0.386386386386,6e-10
-0.385585585586,2.6e-09
-0.384784784785,-1e-09
-0.383983983984,8e-10
-0.383183183183,-2.5e-09
-0.382382382382,-3.2e-09
-0.381581581582,3.2e-09
-0.380780780781,-1e-09
-0.37997997998,1.8e-09
-0.379179179179,-6e-10
-0.378378378378,-1e-10
-0.377577577578,-1.8e-09
-0.376776776777,4.1e-09
-0.375975975976,-5e-10
-0.375175175175,1.6e-09
-0.374374374374,-1.5e-09
-0.373573573574,-6e-10
-0.372772772773,-1e-10
-0.371971971972,-3.7e-09
-0.371171171171,-1e-10
-0.37037037037,4e-10
-0.36956956957,4.4e-09
-0.368768768769,-6e-10
-0.367967967968,1e-10
-0.367167167167,2e-10
-0.366366366366,-5e-10
-0.365565565566,1.1e-09
-0.364764764765,-8e-10
-0.363963963964,1.4e-09
-0.363163163163,-1.5e-09
-0.362362362362,1.5e-09
-0.361561561562,6e-10
-0.360760760761,2e-09
-0.35995995996,-2e-10
-0.359159159159,-1.1e-09
-0.358358358358,1.8e-09
-0.357557557558,2.4e-09
-0.356756756757,-4e-10
-0.355955955956,1.4e-09
-0.355155155155,0.0
-0.354354354354,1.3e-09
-0.353553553554,-9e-10
-0.352752752753,2.1e-09
-0.351951951952,3.1e-09
-0.351151151151,0.0
-0.35035035035,2.9e-09
-0.34954954955,-1.7e-09
-0.348748748749,2e-09
-0.347947947948,2.4e-09
-0.347147147147,4e-09
-0.346346346346,3e-10
-0.345545545546,2.6e-09
-0.344744744745,-6e-10
-0.343943943944,-7e-10
-0.343143143143,3.9e-09
-0.342342342342,3.2e-09
-0.341541541542,1.1e-09
-0.340740740741,2.1e-09
-0.33993993994,-1.5e-09
-0.339139139139,5.6e-09
-0.338338338338,-1.4e-09
-0.337537537538,2.7e-09
-0.336736736737,4e-09
-0.335935935936,1e-10
-0.335135135135,5e-10
-0.334334334334,2.8e-09
-0.333533533534,7e-10
-0.332732732733,5.8e-09
-0.331931931932,2e-09
-0.331131131131,3.1e-09
-0.33033033033,2.7e-09
-0.32952952953,3.1e-09
-0.328728728729,3.8e-09
-0.327927927928,1.5e-09
-0.327127127127,-2.1e-09
-0.326326326326,2.6e-09
-0.325525525526,3.1e-09
-0.324724724725,3e-10
-0.323923923924,4.5e-09
-0.323123123123,-5e-10
-0.322322322322,1.5e-09
-0.321521521522,1.2e-09
-0.320720720721,7e-10
-0.31991991992,-6e-10
-0.319119119119,4.3e-09
-0.318318318318,3.6e-09
-0.317517517518,1.3e-09
-0.316716716717,4e-09
-0.315915915916,6.6e-09
-0.315115115115,4.2e-09
-0.314314314314,6.5e-09
-0.313513513514,1.2e-09
-0.312712712713,6.9e-09
-0.311911911912,2.2e-09
-0.311111111111,8e-10
-0.31031031031,7.2e-09
-0.30950950951,4.8e-09
-0.308708708709,4.4e-09
-0.307907907908,4.9e-09
-0.307107107107,6.9e-09
-0.306306306306,5.9e-09
-0.305505505506,4.4e-09
-0.304704704705,2.4e-09
-0.303903903904,1.01e-08
-0.303103103103,5.7e-09
-0.302302302302,4.3e-09
-0.301501501502,5.8e-09
-0.300700700701,9e-09
-0.2998998999,8e-09
-0.299099099099,8e-09
-0.298298298298,6.5e-09
-0.297497497497,4.3e-09
-0.296696696697,6.8e-09
-0.295895895896,7e-09
-0.295095095095,7.7e-09
-0.294294294294,9e-09
-0.293493493493,9.5e-09
-0.292692692693,6.1e-09
-0.291891891892,1.05e-08
-0.291091091091,7.2e-09
-0.29029029029,9.1e-09
-0.289489489489,8.4e-09
-0.288688688689,7.7e-09
-0.287887887888,1.06e-08
-0.287087087087,9.1e-09
-0.286286286286,7.7e-09
-0.285485485485,7.6e-09
-0.284684684685,1.05e-08
-0.283883883884,7e-09
-0.283083083083,1.05e-08
-0.282282282282,5.3e-09
-0.281481481481,1.38e-08
-0.280680680681,1.15e-08
-0.27987987988,8.2e-09
-0.279079079079,8.7e-09
-0.278278278278,9.7e-09
-0.277477477477,8.8e-09
-0.276676676677,1.42e-08
-0.275875875876,1.24e-08
-0.275075075075,1.3e-08
-0.274274274274,1.11e-08
-0.273473473473,1.75e-08
-0.272672672673,1.44e-08
-0.271871871872,1.56e-08
-0.271071071071,1.02e-08
-0.27027027027,1.29e-08
-0.269469469469,1.55e-08
-0.268668668669,2.04e-08
-0.267867867868,1.63e-08
-0.267067067067,1.9e-08
-0.266266266266,1.75e-08
-0.265465465465,1.96e-08
-0.264664664665,1.74e-08
-0.263863863864,1.66e-08
-0.263063063063,1.78e-08
-0.262262262262,1.81e-08
-0.261461461461,2.17e-08
-0.260660660661,1.43e-08
-0.25985985986,2.27e-08
-0.259059059059,1.5e-08
-0.258258258258,2.7e-08
-0.257457457457,2.06e-08
-0.256656656657,2.59e-08
-0.255855855856,2.25e-08
