Vdm, I1
-1.0,-5.8e-09
-0.997997997998,-1.6e-09
-0.995995995996,-8e-10
-0.993993993994,-1.3e-09
-0.991991991992,-4.4e-09
-0.98998998999,-3.3e-09
-0.987987987988,3.9e-09
-0.985985985986,-3.4e-09
-0.983983983984,2.2e-09
-0.981981981982,-1.9e-09
-0.97997997998,9e-10
-0.977977977978,-2.4e-09
-0.975975975976,2.8e-09
-0.973973973974,-3.1e-09
-0.971971971972,1.9e-09
-0.96996996997,-1.1e-09
-0.967967967968,2.7e-09
-0.965965965966,-1.6e-09
-0.963963963964,-1.3e-09
-0.961961961962,2.4e-09
-0.95995995996,-2.7e-09
-0.957957957958,-1e-10
-0.955955955956,3.8e-09
-0.953953953954,-3e-09
-0.951951951952,7e-10
-0.94994994995,-2.1e-09
-0.947947947948,2e-09
-0.945945945946,8e-10
-0.943943943944,-2.4e-09
-0.941941941942,-3.3e-09
-0.93993993994,-1.4e-09
-0.937937937938,2.2e-09
-0.935935935936,7e-10
-0.933933933934,-3e-09
-0.931931931932,0.0
-0.92992992993,2e-09
-0.927927927928,-1.7e-09
-0.925925925926,1.4e-09
-0.923923923924,1.1e-09
-0.921921921922,8e-10
-0.91991991992,-5e-10
-0.917917917918,-5e-10
-0.915915915916,-2.7e-09
-0.913913913914,-4e-10
-0.911911911912,1.9e-09
-0.90990990991,-2.5e-09
-0.907907907908,-4.3e-09
-0.905905905906,-8e-10
-0.903903903904,-1.8e-09
-0.901901901902,-3.8e-09
-0.8998998999,-6e-10
-0.897897897898,-9e-10
-0.895895895896,-5e-10
-0.893893893894,2.4e-09
-0.891891891892,3.2e-09
-0.88988988989,1.2e-09
-0.887887887888,-1.3e-09
-0.885885885886,-4e-09
-0.883883883884,2e-09
-0.881881881882,1.7e-09
-0.87987987988,7e-10
-0.877877877878,-2.7e-09
-0.875875875876,1.6e-09
-0.873873873874,-1e-10
-0.871871871872,3.4e-09
-0.86986986987,1.8e-09
-0.867867867868,1.5e-09
-0.865865865866,-5e-10
-0.863863863864,-1.5e-09
-0.861861861862,1.6e-09
-0.85985985986,-4e-10
-0.857857857858,1e-10
-0.855855855856,-3.1e-09
-0.853853853854,1.6e-09
-0.851851851852,-1e-10
-0.84984984985,-1.6e-09
-0.847847847848,-5e-10
-0.845845845846,-3.1e-09
-0.843843843844,-3e-10
-0.841841841842,1.5e-09
-0.83983983984,-1.7e-09
-0.837837837838,1.3e-09
-0.835835835836,-3.2e-09
-0.833833833834,1.1e-09
-0.831831831832,-3.2e-09
-0.82982982983,-2.1e-09
-0.827827827828,2.7e-09
-0.825825825826,2.9e-09
-0.823823823824,4.6e-09
-0.821821821822,5e-10
-0.81981981982,-2e-10
-0.817817817818,3.5e-09
-0.815815815816,-3.5e-09
-0.813813813814,4e-10
-0.811811811812,2.4e-09
-0.80980980981,-2.5e-09
-0.807807807808,2.6e-09
-0.805805805806,2.5e-09
-0.803803803804,2.8e-09
-0.801801801802,4.3e-09
-0.7997997998,1.4e-09
-0.797797797798,3.8e-09
-0.795795795796,3e-10
-0.793793793794,3.7e-09
-0.791791791792,1.9e-09
-0.78978978979,2.7e-09
-0.787787787788,2.6e-09
-0.785785785786,-6e-09
-0.783783783784,3.3e-09
-0.781781781782,4.9e-09
-0.77977977978,5e-10
-0.777777777778,3.7e-09
-0.775775775776,7e-10
-0.773773773774,1.7e-09
-0.771771771772,3.7e-09
-0.76976976977,2.7e-09
-0.767767767768,4.7e-09
-0.765765765766,5.8e-09
-0.763763763764,1.13e-08
-0.761761761762,5.9e-09
-0.75975975976,7.3e-09
-0.757757757758,3.7e-09
-0.755755755756,7.1e-09
-0.753753753754,8.6e-09
-0.751751751752,6.8e-09
-0.74974974975,9.7e-09
-0.747747747748,7.7e-09
-0.745745745746,1e-08
-0.743743743744,7.2e-09
-0.741741741742,1.02e-08
-0.73973973974,7.6e-09
-0.737737737738,1.15e-08
-0.735735735736,1.75e-08
-0.733733733734,1.37e-08
-0.731731731732,1.45e-08
-0.72972972973,1.95e-08
-0.727727727728,2.03e-08
-0.725725725726,1.73e-08
-0.723723723724,1.9e-08
-0.721721721722,2.13e-08
-0.71971971972,2.28e-08
-0.717717717718,2.03e-08
-0.715715715716,2.54e-08
-0.713713713714,2.83e-08
-0.711711711712,2.96e-08
-0.70970970971,2.74e-08
-0.707707707708,3.46e-08
-0.705705705706,3.38e-08
-0.703703703704,3.72e-08
-0.701701701702,3.65e-08
-0.6996996997,4.39e-08
-0.697697697698,4.47e-08
-0.695695695696,4.6e-08
-0.693693693694,4.89e-08
-0.691691691692,5.19e-08
-0.68968968969,5.79e-08
-0.687687687688,6.14e-08
-0.685685685686,6.88e-08
-0.683683683684,6.42e-08
-0.681681681682,7.32e-08
-0.67967967968,7.84e-08
-0.677677677678,7.85e-08
-0.675675675676,8.23e-08
-0.673673673674,8.83e-08
-0.671671671672,9.68e-08
-0.66966966967,9.79e-08
-0.667667667668,1.096e-07
-0.665665665666,1.113e-07
-0.663663663664,1.222e-07
-0.661661661662,1.279e-07
-0.65965965966,1.362e-07
-0.657657657658,1.477e-07
-0.655655655656,1.525e-07
-0.653653653654,1.638e-07
-0.651651651652,1.713e-07
-0.64964964965,1.871e-07
-0.647647647648,1.93e-07
-0.645645645646,2e-07
-0.643643643644,2.23e-07
-0.641641641642,2.35e-07
-0.63963963964,2.47e-07
-0.637637637638,2.6e-07
-0.635635635636,2.79e-07
-0.633633633634,2.88e-07
