Vdm, V
-1.0,2.724
-0.997997997998,2.724
-0.995995995996,2.724
-0.993993993994,2.724
-0.991991991992,2.724
-0.98998998999,2.724
-0.987987987988,2.724
-0.985985985986,2.724
-0.983983983984,2.724
-0.981981981982,2.724
-0.97997997998,2.724
-0.977977977978,2.724
-0.975975975976,2.724
-0.973973973974,2.724
-0.971971971972,2.724
-0.96996996997,2.724
-0.967967967968,2.724
-0.965965965966,2.724
-0.963963963964,2.724
-0.961961961962,2.724
-0.95995995996,2.724
-0.957957957958,2.724
-0.955955955956,2.724
-0.953953953954,2.724
-0.951951951952,2.724
-0.94994994995,2.724
-0.947947947948,2.724
-0.945945945946,2.724
-0.943943943944,2.724
-0.941941941942,2.724
-0.93993993994,2.724
-0.937937937938,2.724
-0.935935935936,2.724
-0.933933933934,2.724
-0.931931931932,2.724
-0.92992992993,2.724
-0.927927927928,2.724
-0.925925925926,2.724
-0.923923923924,2.724
-0.921921921922,2.724
-0.91991991992,2.724
-0.917917917918,2.724
-0.915915915916,2.724
-0.913913913914,2.724
-0.911911911912,2.724
-0.90990990991,2.724
-0.907907907908,2.724
-0.905905905906,2.724
-0.903903903904,2.724
-0.901901901902,2.724
-0.8998998999,2.724
-0.897897897898,2.724
-0.895895895896,2.724
-0.893893893894,2.724
-0.891891891892,2.724
-0.88988988989,2.724
-0.887887887888,2.724
-0.885885885886,2.724
-0.883883883884,2.724
-0.881881881882,2.724
-0.87987987988,2.724
-0.877877877878,2.724
-0.875875875876,2.724
-0.873873873874,2.724
-0.871871871872,2.724
-0.86986986987,2.724
-0.867867867868,2.724
-0.865865865866,2.724
-0.863863863864,2.724
-0.861861861862,2.724
-0.85985985986,2.724
-0.857857857858,2.724
-0.855855855856,2.724
-0.853853853854,2.724
-0.851851851852,2.724
-0.84984984985,2.724
-0.847847847848,2.724
-0.845845845846,2.724
-0.843843843844,2.724
-0.841841841842,2.724
-0.83983983984,2.724
-0.837837837838,2.724
-0.835835835836,2.724
-0.833833833834,2.724
-0.831831831832,2.724
-0.82982982983,2.724
-0.827827827828,2.724
-0.825825825826,2.724
-0.823823823824,2.724
-0.821821821822,2.724
-0.81981981982,2.724
-0.817817817818,2.724
-0.815815815816,2.724
-0.813813813814,2.724
-0.811811811812,2.724
-0.80980980981,2.724
-0.807807807808,2.724
-0.805805805806,2.724
-0.803803803804,2.724
-0.801801801802,2.724
-0.7997997998,2.724
-0.797797797798,2.724
-0.795795795796,2.724
-0.793793793794,2.724
-0.791791791792,2.724
-0.78978978979,2.724
-0.787787787788,2.724
-0.785785785786,2.724
-0.783783783784,2.724
-0.781781781782,2.724
-0.77977977978,2.724
-0.777777777778,2.724
-0.775775775776,2.724
