Vdm, V
-0.4,3.11
-0.399199199199,3.11
-0.398398398398,3.11
-0.397597597598,3.11
-0.396796796797,3.11
-0.395995995996,3.11
-0.395195195195,3.11
-0.394394394394,3.11
-0.393593593594,3.11
-0.392792792793,3.11
-0.391991991992,3.11
-0.391191191191,3.11
-0.39039039039,3.11
-0.38958958959,3.11
-0.388788788789,3.11
-0.387987987988,3.11
-0.387187187187,3.11
-0.386386386386,3.11
-0.385585585586,3.11
-0.384784784785,3.11
-0.383983983984,3.11
-0.383183183183,3.11
-0.382382382382,3.11
-0.381581581582,3.11
-0.380780780781,3.11
-0.37997997998,3.11
-0.379179179179,3.11
-0.378378378378,3.11
-0.377577577578,3.11
-0.376776776777,3.11
-0.375975975976,3.11
-0.375175175175,3.11
-0.374374374374,3.11
-0.373573573574,3.11
-0.372772772773,3.11
-0.371971971972,3.11
-0.371171171171,3.11
-0.37037037037,3.11
-0.36956956957,3.11
-0.368768768769,3.11
-0.367967967968,3.11
-0.367167167167,3.11
-0.366366366366,3.11
-0.365565565566,3.11
-0.364764764765,3.11
-0.363963963964,3.11
-0.363163163163,3.11
-0.362362362362,3.11
-0.361561561562,3.11
-0.360760760761,3.11
-0.35995995996,3.11
-0.359159159159,3.11
-0.358358358358,3.11
-0.357557557558,3.11
-0.356756756757,3.11
-0.355955955956,3.11
-0.355155155155,3.11
-0.354354354354,3.11
-0.353553553554,3.11
-0.352752752753,3.11
-0.351951951952,3.11
-0.351151151151,3.11
-0.35035035035,3.11
-0.34954954955,3.11
-0.348748748749,3.11
-0.347947947948,3.11
-0.347147147147,3.11
-0.346346346346,3.11
-0.345545545546,3.11
-0.344744744745,3.11
-0.343943943944,3.11
-0.343143143143,3.11
-0.342342342342,3.11
-0.341541541542,3.11
-0.340740740741,3.11
-0.33993993994,3.11
-0.339139139139,3.11
-0.338338338338,3.11
-0.337537537538,3.11
-0.336736736737,3.11
-0.335935935936,3.11
-0.335135135135,3.11
-0.334334334334,3.11
-0.333533533534,3.11
-0.332732732733,3.11
-0.331931931932,3.11
-0.331131131131,3.11
-0.33033033033,3.11
-0.32952952953,3.11
-0.328728728729,3.11
-0.327927927928,3.11
-0.327127127127,3.11
-0.326326326326,3.11
-0.325525525526,3.11
-0.324724724725,3.11
-0.323923923924,3.11
-0.323123123123,3.11
-0.322322322322,3.11
-0.321521521522,3.11
-0.320720720721,3.11
-0.31991991992,3.11
-0.319119119119,3.11
-0.318318318318,3.11
-0.317517517518,3.11
-0.316716716717,3.11
-0.315915915916,3.11
-0.315115115115,3.11
-0.314314314314,3.11
-0.313513513514,3.11
-0.312712712713,3.11
-0.311911911912,3.11
-0.311111111111,3.11
-0.31031031031,3.11
-0.30950950951,3.11
-0.308708708709,3.11
-0.307907907908,3.11
-0.307107107107,3.11
-0.306306306306,3.11
-0.305505505506,3.11
-0.304704704705,3.11
-0.303903903904,3.11
-0.303103103103,3.11
-0.302302302302,3.11
-0.301501501502,3.11
-0.300700700701,3.11
-0.2998998999,3.11
-0.299099099099,3.11
-0.298298298298,3.11
-0.297497497497,3.11
-0.296696696697,3.11
-0.295895895896,3.11
-0.295095095095,3.11
-0.294294294294,3.11
-0.293493493493,3.11
-0.292692692693,3.11
-0.291891891892,3.11
-0.291091091091,3.11
-0.29029029029,3.11
-0.289489489489,3.11
-0.288688688689,3.11
-0.287887887888,3.11
-0.287087087087,3.11
-0.286286286286,3.11
-0.285485485485,3.11
-0.284684684685,3.11
-0.283883883884,3.11
-0.283083083083,3.11
-0.282282282282,3.11
-0.281481481481,3.11
-0.280680680681,3.11
-0.27987987988,3.11
-0.279079079079,3.11
-0.278278278278,3.11
-0.277477477477,3.11
-0.276676676677,3.11
-0.275875875876,3.11
-0.275075075075,3.11
-0.274274274274,3.11
-0.273473473473,3.11
-0.272672672673,3.11
-0.271871871872,3.11
-0.271071071071,3.11
-0.27027027027,3.11
-0.269469469469,3.11
-0.268668668669,3.11
-0.267867867868,3.11
-0.267067067067,3.11
-0.266266266266,3.11
-0.265465465465,3.11
-0.264664664665,3.11
-0.263863863864,3.11
-0.263063063063,3.11
-0.262262262262,3.11
-0.261461461461,3.11
-0.260660660661,3.11
-0.25985985986,3.11
-0.259059059059,3.11
-0.258258258258,3.11
-0.257457457457,3.11
-0.256656656657,3.11
-0.255855855856,3.11
-0.255055055055,3.11
-0.254254254254,3.11
-0.253453453453,3.11
-0.252652652653,3.112
-0.251851851852,3.11
-0.251051051051,3.112
-0.25025025025,3.112
-0.249449449449,3.112
-0.248648648649,3.112
-0.247847847848,3.112
-0.247047047047,3.112
-0.246246246246,3.112
-0.245445445445,3.112
-0.244644644645,3.112
-0.243843843844,3.112
-0.243043043043,3.112
-0.242242242242,3.112
-0.241441441441,3.112
-0.240640640641,3.112
-0.23983983984,3.112
-0.239039039039,3.112
-0.238238238238,3.112
-0.237437437437,3.112
-0.236636636637,3.112
-0.235835835836,3.112
-0.235035035035,3.112
-0.234234234234,3.112
-0.233433433433,3.112
-0.232632632633,3.112
-0.231831831832,3.112
-0.231031031031,3.112
-0.23023023023,3.112
-0.229429429429,3.112
-0.228628628629,3.112
-0.227827827828,3.112
-0.227027027027,3.112
-0.226226226226,3.112
-0.225425425425,3.112
-0.224624624625,3.112
-0.223823823824,3.112
-0.223023023023,3.112
-0.222222222222,3.112
-0.221421421421,3.112
-0.220620620621,3.112
-0.21981981982,3.112
-0.219019019019,3.112
-0.218218218218,3.112
-0.217417417417,3.112
-0.216616616617,3.112
-0.215815815816,3.112
-0.215015015015,3.112
-0.214214214214,3.114
-0.213413413413,3.114
-0.212612612613,3.114
-0.211811811812,3.114
-0.211011011011,3.114
-0.21021021021,3.114
-0.209409409409,3.114
-0.208608608609,3.114
-0.207807807808,3.114
-0.207007007007,3.114
-0.206206206206,3.114
-0.205405405405,3.114
-0.204604604605,3.114
-0.203803803804,3.114
-0.203003003003,3.114
-0.202202202202,3.114
-0.201401401401,3.114
-0.200600600601,3.114
-0.1997997998,3.114
-0.198998998999,3.114
-0.198198198198,3.114
-0.197397397397,3.114
-0.196596596597,3.114
-0.195795795796,3.116
-0.194994994995,3.116
-0.194194194194,3.116
-0.193393393393,3.116
-0.192592592593,3.116
-0.191791791792,3.116
-0.190990990991,3.116
-0.19019019019,3.116
-0.189389389389,3.116
-0.188588588589,3.116
-0.187787787788,3.116
-0.186986986987,3.116
-0.186186186186,3.116
-0.185385385385,3.116
-0.184584584585,3.116
-0.183783783784,3.116
-0.182982982983,3.116
-0.182182182182,3.118
-0.181381381381,3.118
-0.180580580581,3.118
-0.17977977978,3.118
-0.178978978979,3.118
-0.178178178178,3.118
-0.177377377377,3.118
-0.176576576577,3.118
-0.175775775776,3.118
-0.174974974975,3.118
-0.174174174174,3.118
-0.173373373373,3.12
-0.172572572573,3.12
-0.171771771772,3.12
-0.170970970971,3.12
-0.17017017017,3.12
-0.169369369369,3.12
-0.168568568569,3.12
-0.167767767768,3.12
-0.166966966967,3.12
-0.166166166166,3.12
-0.165365365365,3.12
-0.164564564565,3.122
-0.163763763764,3.122
-0.162962962963,3.122
-0.162162162162,3.122
-0.161361361361,3.122
-0.160560560561,3.122
-0.15975975976,3.122
-0.158958958959,3.122
-0.158158158158,3.122
-0.157357357357,3.122
-0.156556556557,3.124
-0.155755755756,3.124
-0.154954954955,3.124
-0.154154154154,3.124
-0.153353353353,3.124
-0.152552552553,3.124
-0.151751751752,3.124
-0.150950950951,3.124
-0.15015015015,3.126
-0.149349349349,3.126
-0.148548548549,3.126
-0.147747747748,3.126
-0.146946946947,3.126
-0.146146146146,3.126
-0.145345345345,3.126
-0.144544544545,3.128
-0.143743743744,3.128
-0.142942942943,3.128
-0.142142142142,3.128
-0.141341341341,3.128
-0.140540540541,3.128
-0.13973973974,3.13
-0.138938938939,3.13
-0.138138138138,3.13
-0.137337337337,3.13
-0.136536536537,3.13
-0.135735735736,3.13
-0.134934934935,3.13
-0.134134134134,3.132
-0.133333333333,3.132
-0.132532532533,3.132
-0.131731731732,3.132
-0.130930930931,3.132
-0.13013013013,3.132
-0.129329329329,3.134
-0.128528528529,3.134
-0.127727727728,3.134
-0.126926926927,3.134
-0.126126126126,3.134
-0.125325325325,3.134
-0.124524524525,3.136
-0.123723723724,3.136
-0.122922922923,3.136
-0.122122122122,3.136
-0.121321321321,3.136
-0.120520520521,3.138
-0.11971971972,3.138
-0.118918918919,3.138
-0.118118118118,3.138
-0.117317317317,3.138
-0.116516516517,3.138
-0.115715715716,3.14
-0.114914914915,3.14
-0.114114114114,3.14
-0.113313313313,3.14
-0.112512512513,3.14
-0.111711711712,3.142
-0.110910910911,3.142
-0.11011011011,3.142
-0.109309309309,3.142
-0.108508508509,3.144
-0.107707707708,3.144
-0.106906906907,3.144
-0.106106106106,3.144
-0.105305305305,3.144
-0.104504504505,3.146
-0.103703703704,3.146
-0.102902902903,3.146
-0.102102102102,3.146
-0.101301301301,3.146
-0.100500500501,3.148
-0.0996996996997,3.148
-0.0988988988989,3.148
-0.0980980980981,3.148
-0.0972972972973,3.148
-0.0964964964965,3.15
-0.0956956956957,3.15
-0.0948948948949,3.15
-0.0940940940941,3.15
-0.0932932932933,3.152
-0.0924924924925,3.152
-0.0916916916917,3.152
-0.0908908908909,3.152
-0.0900900900901,3.154
-0.0892892892893,3.154
-0.0884884884885,3.154
-0.0876876876877,3.154
-0.0868868868869,3.156
-0.0860860860861,3.156
-0.0852852852853,3.156
-0.0844844844845,3.156
-0.0836836836837,3.156
-0.0828828828829,3.156
-0.0820820820821,3.158
-0.0812812812813,3.158
-0.0804804804805,3.16
-0.0796796796797,3.16
-0.0788788788789,3.16
-0.0780780780781,3.16
-0.0772772772773,3.16
-0.0764764764765,3.162
-0.0756756756757,3.162
-0.0748748748749,3.162
-0.0740740740741,3.162
-0.0732732732733,3.164
-0.0724724724725,3.164
-0.0716716716717,3.164
-0.0708708708709,3.166
-0.0700700700701,3.166
-0.0692692692693,3.166
-0.0684684684685,3.166
-0.0676676676677,3.168
-0.0668668668669,3.168
-0.0660660660661,3.168
-0.0652652652653,3.168
-0.0644644644645,3.17
-0.0636636636637,3.17
-0.0628628628629,3.17
-0.0620620620621,3.172
-0.0612612612613,3.172
-0.0604604604605,3.172
-0.0596596596597,3.174
-0.0588588588589,3.174
-0.0580580580581,3.174
-0.0572572572573,3.174
-0.0564564564565,3.176
-0.0556556556557,3.176
-0.0548548548549,3.176
-0.0540540540541,3.178
-0.0532532532533,3.178
-0.0524524524525,3.178
-0.0516516516517,3.178
-0.0508508508509,3.18
-0.0500500500501,3.18
-0.0492492492492,3.18
-0.0484484484484,3.182
-0.0476476476476,3.182
-0.0468468468468,3.182
-0.046046046046,3.184
-0.0452452452452,3.184
-0.0444444444444,3.184
-0.0436436436436,3.186
-0.0428428428428,3.186
-0.042042042042,3.186
-0.0412412412412,3.188
-0.0404404404404,3.188
-0.0396396396396,3.188
-0.0388388388388,3.188
-0.038038038038,3.19
-0.0372372372372,3.19
-0.0364364364364,3.19
-0.0356356356356,3.192
-0.0348348348348,3.192
-0.034034034034,3.192
-0.0332332332332,3.194
-0.0324324324324,3.194
-0.0316316316316,3.194
-0.0308308308308,3.196
-0.03003003003,3.196
-0.0292292292292,3.196
-0.0284284284284,3.196
-0.0276276276276,3.198
-0.0268268268268,3.198
-0.026026026026,3.198
-0.0252252252252,3.2
-0.0244244244244,3.2
-0.0236236236236,3.202
-0.0228228228228,3.202
-0.022022022022,3.202
-0.0212212212212,3.204
-0.0204204204204,3.204
-0.0196196196196,3.204
-0.0188188188188,3.204
-0.018018018018,3.206
-0.0172172172172,3.206
-0.0164164164164,3.206
-0.0156156156156,3.208
-0.0148148148148,3.208
-0.014014014014,3.208
-0.0132132132132,3.21
-0.0124124124124,3.21
-0.0116116116116,3.21
-0.0108108108108,3.212
-0.01001001001,3.212
-0.00920920920921,3.212
-0.00840840840841,3.212
-0.00760760760761,3.214
-0.00680680680681,3.214
-0.00600600600601,3.216
-0.00520520520521,3.216
-0.0044044044044,3.216
-0.0036036036036,3.218
-0.0028028028028,3.218
-0.002002002002,3.218
-0.0012012012012,3.22
-0.0004004004004,3.22
0.0004004004004,3.22
0.0012012012012,3.222
0.002002002002,3.222
0.0028028028028,3.222
0.0036036036036,3.224
0.0044044044044,3.224
0.00520520520521,3.224
0.00600600600601,3.226
0.00680680680681,3.226
0.00760760760761,3.226
0.00840840840841,3.228
0.00920920920921,3.228
0.01001001001,3.228
0.0108108108108,3.23
0.0116116116116,3.23
0.0124124124124,3.23
0.0132132132132,3.23
0.014014014014,3.232
0.0148148148148,3.232
0.0156156156156,3.232
0.0164164164164,3.234
0.0172172172172,3.234
0.018018018018,3.234
0.0188188188188,3.236
0.0196196196196,3.236
0.0204204204204,3.238
0.0212212212212,3.238
0.022022022022,3.238
0.0228228228228,3.24
0.0236236236236,3.24
0.0244244244244,3.24
0.0252252252252,3.24
0.026026026026,3.242
0.0268268268268,3.242
0.0276276276276,3.242
0.0284284284284,3.244
0.0292292292292,3.244
0.03003003003,3.244
0.0308308308308,3.246
0.0316316316316,3.246
0.0324324324324,3.248
0.0332332332332,3.248
0.034034034034,3.248
0.0348348348348,3.25
0.0356356356356,3.25
0.0364364364364,3.25
0.0372372372372,3.252
0.038038038038,3.252
0.0388388388388,3.252
0.0396396396396,3.252
0.0404404404404,3.254
0.0412412412412,3.254
0.042042042042,3.256
0.0428428428428,3.256
0.0436436436436,3.256
0.0444444444444,3.258
0.0452452452452,3.258
0.046046046046,3.258
0.0468468468468,3.258
0.0476476476476,3.26
0.0484484484484,3.26
0.0492492492492,3.26
0.0500500500501,3.262
0.0508508508509,3.262
0.0516516516517,3.262
0.0524524524525,3.264
0.0532532532533,3.264
0.0540540540541,3.266
0.0548548548549,3.266
0.0556556556557,3.266
0.0564564564565,3.266
0.0572572572573,3.268
0.0580580580581,3.268
0.0588588588589,3.27
0.0596596596597,3.27
0.0604604604605,3.27
0.0612612612613,3.272
0.0620620620621,3.272
0.0628628628629,3.272
0.0636636636637,3.274
0.0644644644645,3.274
0.0652652652653,3.276
0.0660660660661,3.276
0.0668668668669,3.276
0.0676676676677,3.276
0.0684684684685,3.276
0.0692692692693,3.278
0.0700700700701,3.278
0.0708708708709,3.28
0.0716716716717,3.28
0.0724724724725,3.28
0.0732732732733,3.282
0.0740740740741,3.282
