Vdm, I1
-1.0,6e-07
-0.997997997998,7.16e-08
-0.995995995996,6e-08
-0.993993993994,4.63e-08
-0.991991991992,3.79e-08
-0.98998998999,3.34e-08
-0.987987987988,2.69e-08
-0.985985985986,2.27e-08
-0.983983983984,2.23e-08
-0.981981981982,2.08e-08
-0.97997997998,1.76e-08
-0.977977977978,1.59e-08
-0.975975975976,1.74e-08
-0.973973973974,1.21e-08
-0.971971971972,1.53e-08
-0.96996996997,1.14e-08
-0.967967967968,1.29e-08
-0.965965965966,9.6e-09
-0.963963963964,9.8e-09
-0.961961961962,8.7e-09
-0.95995995996,9.7e-09
-0.957957957958,7.5e-09
-0.955955955956,7.8e-09
-0.953953953954,6.1e-09
-0.951951951952,0.0
-0.94994994995,6.4e-09
-0.947947947948,5.5e-09
-0.945945945946,4.2e-09
-0.943943943944,6.3e-09
-0.941941941942,3.2e-09
-0.93993993994,6.2e-09
-0.937937937938,4.4e-09
-0.935935935936,3.6e-09
-0.933933933934,6.8e-09
-0.931931931932,6e-09
-0.92992992993,5.3e-09
-0.927927927928,2.8e-09
-0.925925925926,1.8e-09
-0.923923923924,2.8e-09
-0.921921921922,1.2e-09
-0.91991991992,5.7e-09
-0.917917917918,4.4e-09
-0.915915915916,5e-10
-0.913913913914,4.2e-09
-0.911911911912,5.9e-09
-0.90990990991,5.6e-09
-0.907907907908,3.4e-09
-0.905905905906,1.5e-09
-0.903903903904,7e-10
-0.901901901902,2.8e-09
-0.8998998999,1.2e-09
-0.897897897898,3.4e-09
-0.895895895896,4.9e-09
-0.893893893894,4.3e-09
-0.891891891892,-2.3e-09
-0.88988988989,4e-09
-0.887887887888,-1e-10
-0.885885885886,4.7e-09
-0.883883883884,2.5e-09
-0.881881881882,2.3e-09
-0.87987987988,6e-10
-0.877877877878,1.5e-09
-0.875875875876,5.9e-09
-0.873873873874,4.6e-09
-0.871871871872,2.6e-09
-0.86986986987,3e-10
-0.867867867868,5.3e-09
-0.865865865866,-5e-10
-0.863863863864,6e-09
-0.861861861862,5.4e-09
-0.85985985986,2.5e-09
-0.857857857858,4e-09
-0.855855855856,-3.8e-09
-0.853853853854,4.3e-09
-0.851851851852,3.3e-09
-0.84984984985,-1e-10
-0.847847847848,5e-09
-0.845845845846,2.2e-09
-0.843843843844,4.1e-09
-0.841841841842,3e-09
-0.83983983984,3.2e-09
-0.837837837838,3.3e-09
-0.835835835836,1.6e-09
-0.833833833834,2.7e-09
-0.831831831832,1.7e-09
-0.82982982983,1.3e-09
-0.827827827828,-3e-09
-0.825825825826,6.3e-09
-0.823823823824,-4e-10
-0.821821821822,1e-09
-0.81981981982,5.3e-09
-0.817817817818,2.3e-09
-0.815815815816,2.5e-09
-0.813813813814,4.8e-09
-0.811811811812,2.2e-09
-0.80980980981,2.4e-09
-0.807807807808,7e-10
-0.805805805806,6.3e-09
-0.803803803804,5.2e-09
-0.801801801802,3.6e-09
-0.7997997998,4.9e-09
-0.797797797798,4.7e-09
-0.795795795796,4.9e-09
-0.793793793794,6.9e-09
-0.791791791792,1.4e-09
-0.78978978979,4.8e-09
-0.787787787788,5.9e-09
-0.785785785786,1.3e-09
-0.783783783784,1.4e-09
-0.781781781782,9.3e-09
-0.77977977978,4.8e-09
-0.777777777778,5.1e-09
-0.775775775776,5.8e-09
-0.773773773774,1.04e-08
-0.771771771772,8.5e-09
-0.76976976977,9.4e-09
-0.767767767768,5.3e-09
-0.765765765766,6.1e-09
-0.763763763764,5.7e-09
-0.761761761762,6.2e-09
-0.75975975976,1.06e-08
-0.757757757758,8.8e-09
-0.755755755756,6e-09
-0.753753753754,5.9e-09
-0.751751751752,1.17e-08
-0.74974974975,1.17e-08
-0.747747747748,1.06e-08
-0.745745745746,1.34e-08
-0.743743743744,9e-09
-0.741741741742,1.57e-08
-0.73973973974,1.78e-08
-0.737737737738,1.56e-08
-0.735735735736,9.9e-09
-0.733733733734,1.87e-08
-0.731731731732,1.96e-08
-0.72972972973,1.87e-08
-0.727727727728,1.98e-08
-0.725725725726,2.51e-08
-0.723723723724,2.23e-08
-0.721721721722,2.39e-08
-0.71971971972,2.57e-08
-0.717717717718,2.74e-08
-0.715715715716,2.85e-08
-0.713713713714,2.44e-08
-0.711711711712,2.94e-08
-0.70970970971,3.18e-08
-0.707707707708,3.44e-08
-0.705705705706,3.99e-08
-0.703703703704,3.87e-08
-0.701701701702,4.01e-08
-0.6996996997,4.61e-08
-0.697697697698,4.39e-08
-0.695695695696,4.74e-08
-0.693693693694,5.27e-08
-0.691691691692,5.48e-08
-0.68968968969,5.72e-08
-0.687687687688,6.32e-08
-0.685685685686,6.2e-08
-0.683683683684,7.23e-08
-0.681681681682,6.97e-08
-0.67967967968,7.38e-08
-0.677677677678,8.32e-08
-0.675675675676,8.43e-08
-0.673673673674,8.74e-08
-0.671671671672,9.65e-08
-0.66966966967,1.038e-07
-0.667667667668,1.088e-07
-0.665665665666,1.125e-07
-0.663663663664,1.206e-07
-0.661661661662,1.254e-07
-0.65965965966,1.36e-07
-0.657657657658,1.421e-07
-0.655655655656,1.534e-07
-0.653653653654,1.531e-07
-0.651651651652,1.676e-07
-0.64964964965,1.763e-07
-0.647647647648,1.901e-07
-0.645645645646,1.929e-07
-0.643643643644,2.13e-07
-0.641641641642,2.19e-07
-0.63963963964,2.36e-07
-0.637637637638,2.46e-07
-0.635635635636,2.56e-07
-0.633633633634,2.72e-07
-0.631631631632,2.86e-07
-0.62962962963,3.14e-07
-0.627627627628,3.2e-07
-0.625625625626,3.35e-07
-0.623623623624,3.55e-07
