Vdm, V
-0.4,1.48
-0.399199199199,1.47
-0.398398398398,1.468
-0.397597597598,1.467
-0.396796796797,1.467
-0.395995995996,1.466
-0.395195195195,1.466
-0.394394394394,1.466
-0.393593593594,1.465
-0.392792792793,1.465
-0.391991991992,1.465
-0.391191191191,1.465
-0.39039039039,1.465
-0.38958958959,1.465
-0.388788788789,1.465
-0.387987987988,1.465
-0.387187187187,1.465
-0.386386386386,1.465
-0.385585585586,1.465
-0.384784784785,1.465
-0.383983983984,1.465
-0.383183183183,1.464
-0.382382382382,1.464
-0.381581581582,1.464
-0.380780780781,1.464
-0.37997997998,1.464
-0.379179179179,1.464
-0.378378378378,1.464
-0.377577577578,1.464
-0.376776776777,1.464
-0.375975975976,1.464
-0.375175175175,1.464
-0.374374374374,1.464
-0.373573573574,1.464
-0.372772772773,1.464
-0.371971971972,1.464
-0.371171171171,1.464
-0.37037037037,1.464
-0.36956956957,1.464
-0.368768768769,1.464
-0.367967967968,1.464
-0.367167167167,1.464
-0.366366366366,1.464
-0.365565565566,1.464
-0.364764764765,1.464
-0.363963963964,1.464
-0.363163163163,1.464
-0.362362362362,1.464
-0.361561561562,1.464
-0.360760760761,1.464
-0.35995995996,1.464
-0.359159159159,1.464
-0.358358358358,1.464
-0.357557557558,1.464
-0.356756756757,1.464
-0.355955955956,1.464
-0.355155155155,1.464
-0.354354354354,1.464
-0.353553553554,1.464
-0.352752752753,1.464
-0.351951951952,1.464
-0.351151151151,1.464
-0.35035035035,1.464
-0.34954954955,1.464
-0.348748748749,1.464
-0.347947947948,1.464
-0.347147147147,1.464
-0.346346346346,1.464
-0.345545545546,1.464
-0.344744744745,1.464
-0.343943943944,1.464
-0.343143143143,1.464
-0.342342342342,1.464
-0.341541541542,1.464
-0.340740740741,1.464
-0.33993993994,1.464
-0.339139139139,1.464
-0.338338338338,1.464
-0.337537537538,1.464
-0.336736736737,1.464
-0.335935935936,1.464
-0.335135135135,1.464
-0.334334334334,1.464
-0.333533533534,1.464
-0.332732732733,1.464
-0.331931931932,1.464
-0.331131131131,1.464
-0.33033033033,1.464
-0.32952952953,1.464
-0.328728728729,1.464
-0.327927927928,1.464
-0.327127127127,1.464
-0.326326326326,1.464
-0.325525525526,1.464
-0.324724724725,1.464
-0.323923923924,1.464
-0.323123123123,1.464
-0.322322322322,1.464
-0.321521521522,1.464
-0.320720720721,1.464
-0.31991991992,1.464
-0.319119119119,1.464
-0.318318318318,1.464
-0.317517517518,1.464
-0.316716716717,1.464
-0.315915915916,1.464
-0.315115115115,1.464
-0.314314314314,1.464
-0.313513513514,1.464
-0.312712712713,1.464
-0.311911911912,1.464
-0.311111111111,1.464
-0.31031031031,1.464
-0.30950950951,1.464
-0.308708708709,1.464
-0.307907907908,1.464
-0.307107107107,1.464
-0.306306306306,1.464
-0.305505505506,1.464
-0.304704704705,1.464
-0.303903903904,1.464
-0.303103103103,1.464
-0.302302302302,1.464
-0.301501501502,1.464
-0.300700700701,1.464
-0.2998998999,1.464
-0.299099099099,1.464
-0.298298298298,1.464
-0.297497497497,1.464
-0.296696696697,1.464
-0.295895895896,1.464
-0.295095095095,1.464
-0.294294294294,1.464
-0.293493493493,1.464
-0.292692692693,1.464
-0.291891891892,1.464
-0.291091091091,1.464
-0.29029029029,1.464
-0.289489489489,1.464
-0.288688688689,1.464
-0.287887887888,1.464
-0.287087087087,1.464
-0.286286286286,1.464
-0.285485485485,1.464
-0.284684684685,1.464
-0.283883883884,1.464
-0.283083083083,1.464
-0.282282282282,1.464
-0.281481481481,1.464
-0.280680680681,1.464
-0.27987987988,1.464
-0.279079079079,1.464
-0.278278278278,1.464
-0.277477477477,1.464
-0.276676676677,1.464
-0.275875875876,1.464
-0.275075075075,1.464
-0.274274274274,1.464
-0.273473473473,1.464
-0.272672672673,1.465
-0.271871871872,1.464
-0.271071071071,1.465
-0.27027027027,1.464
-0.269469469469,1.465
-0.268668668669,1.465
-0.267867867868,1.465
-0.267067067067,1.465
-0.266266266266,1.465
-0.265465465465,1.465
-0.264664664665,1.465
-0.263863863864,1.465
-0.263063063063,1.465
-0.262262262262,1.465
-0.261461461461,1.465
-0.260660660661,1.465
-0.25985985986,1.465
-0.259059059059,1.465
-0.258258258258,1.465
-0.257457457457,1.465
-0.256656656657,1.465
-0.255855855856,1.465
-0.255055055055,1.465
-0.254254254254,1.465
-0.253453453453,1.465
-0.252652652653,1.465
-0.251851851852,1.465
-0.251051051051,1.465
-0.25025025025,1.465
-0.249449449449,1.465
-0.248648648649,1.465
-0.247847847848,1.465
-0.247047047047,1.465
-0.246246246246,1.465
-0.245445445445,1.465
-0.244644644645,1.465
-0.243843843844,1.465
-0.243043043043,1.465
-0.242242242242,1.465
-0.241441441441,1.465
-0.240640640641,1.465
